state,counts,Number,Quadrant,Quadrant State
010110111111011010011010111011010011000000011000111000010001001101001101111110110010001010111100000010100000011000110010111010101100000101111010101001111011100000111010011110100110101001111100,1,367,,Unknown
110001101001100010011001101111001100111100111100101110010110010000101010000001101011111001100010100100101011100101101000001000101011100110000110011101000001111111101010010001010101011100111101,1,794,,Unknown
101100001000110000101101111010111100110010100110110101010010101101110111001010110101010111110001110111111011101100010111010111001010001000011111101100100110110010011011100111010111001001100011,1,706,,Unknown
101001000110100011001111011100001100011111011010100100111011101011110111001111101011001000011011111001011110000010100101111101100001001110100100101110010001010111100111100111110110011000011101,1,657,,Unknown
100000100110110010101001010101111101101001111011000110011101101110010011001100110010000010010101101010100010010100100111110111100001101000101011110001101001011100100101001101010010111100000011,1,521,,Unknown
101010110001111001110001111111000011111011110011110001010011001010001111111111011000011101000000111011001110011111101100000100100110010010001101111110001000100101100101111100101000111011110111,1,684,,Unknown
110001011010111011011100110110111011111110010011000000100001101110000111010111100010000011000001111011001011011000111110110010011111011101101011000100110010110100101010011101111110101100001011,1,790,,Unknown
110010111000011110100011101001011110010001011101111011101010110110011000011101011101001101111000001011000111110010111100111001001000101010100000100011010010000111011010000111100111001101100010,1,814,,Unknown
101110001110101101110011111010100101100001110011000100100100110001001100100001101000111010111100011010011110101100000111111101111100001010110001000111110001011100100001011011010001001101001011,1,739,,Unknown
010100000110101110000110111111000111001101001001101101110100010101100000111000011101110000011111000001100100100101101100000100111101110101001001001111000101010111010110110100001010000010111110,1,321,,Unknown
